lead_quarters,corr
-4,0.3948146709640635
-3,0.5256569248555827
-2,0.6331048441689741
-1,0.7408404112016991
0,0.7551461614435273
1,0.6189213400655643
2,0.5698448963404897
3,0.4681210563774272
4,0.3126686330068788
