,energy_index,cash_share
1999,53.583479192594126,
2000,57.63648100945701,
2001,59.01676438682542,10.102579134976104
2002,58.734252191216505,11.07366100812375
2003,60.60036337257669,11.831937232960216
2004,63.39520428060882,12.073426222580743
2005,69.76919851722693,13.128963704415678
2006,75.20913888685537,13.02733501633393
2007,77.16043631329904,12.930530508283972
2008,85.15063989511445,13.54797438905604
2009,78.48082311209312,14.678720716301136
2010,84.3007739968987,14.708848365216099
2011,94.30150606619237,14.754995364281807
2012,101.52270413086738,14.523580106993757
2013,102.15394751728682,14.81380506090351
2014,100.2209518231853,15.036026392445148
2015,93.37011426936158,15.809935708593896
2016,88.61831903579821,16.518103047537437
2017,92.95050546057142,17.083215059826323
2018,98.89124777883522,18.358421923822437
2019,100.00000000000001,18.296875887649016
2020,93.168462454828,19.603755989615546
2021,105.23862131386475,19.872731548396715
2022,144.02232145828205,21.469666519890342
2023,141.16758397167558,18.82517871444756
2024,138.01935325005493,18.08510751771468
2025,136.0926799725807,18.226835692432488
