date,gpr
1999-01-01,63.98722457885742
1999-02-01,58.316383361816406
1999-03-01,83.39727783203125
1999-04-01,106.19801330566406
1999-05-01,85.44113159179688
1999-06-01,79.4105453491211
1999-07-01,62.14287185668945
1999-08-01,62.858642578125
1999-09-01,69.58151245117188
1999-10-01,72.35348510742188
1999-11-01,57.9638671875
1999-12-01,86.0849380493164
2000-01-01,64.45780944824219
2000-02-01,63.54172134399414
2000-03-01,50.101985931396484
2000-04-01,48.6827392578125
2000-05-01,79.48287963867188
2000-06-01,64.71781921386719
2000-07-01,51.904022216796875
2000-08-01,46.49225616455078
2000-09-01,52.689998626708984
2000-10-01,76.45652770996094
2000-11-01,45.06056213378906
2000-12-01,45.39509963989258
2001-01-01,46.89955520629883
2001-02-01,55.087711334228516
2001-03-01,61.708953857421875
2001-04-01,50.5687370300293
2001-05-01,60.376861572265625
2001-06-01,72.06433868408203
2001-07-01,61.072940826416016
2001-08-01,64.10773468017578
2001-09-01,498.64788818359375
2001-10-01,512.5297241210938
2001-11-01,306.785888671875
2001-12-01,236.09974670410156
2002-01-01,172.47720336914062
2002-02-01,146.1857147216797
2002-03-01,151.9763641357422
2002-04-01,157.49655151367188
2002-05-01,163.3223114013672
2002-06-01,149.33042907714844
2002-07-01,122.7783432006836
2002-08-01,127.06451416015625
2002-09-01,174.90333557128906
2002-10-01,172.03192138671875
2002-11-01,159.12759399414062
2002-12-01,175.8117218017578
2003-01-01,206.43460083007812
2003-02-01,239.61093139648438
2003-03-01,358.711181640625
2003-04-01,255.77517700195312
2003-05-01,162.1218719482422
2003-06-01,145.7697296142578
2003-07-01,134.89891052246094
2003-08-01,138.23092651367188
2003-09-01,118.19628143310547
2003-10-01,108.3173828125
2003-11-01,118.0866928100586
2003-12-01,129.46507263183594
2004-01-01,113.46759033203125
2004-02-01,115.07597351074219
2004-03-01,138.53207397460938
2004-04-01,149.6313934326172
2004-05-01,121.0911865234375
2004-06-01,137.23391723632812
2004-07-01,131.0198516845703
2004-08-01,140.36582946777344
2004-09-01,153.87161254882812
2004-10-01,119.86279296875
2004-11-01,122.70738983154297
2004-12-01,109.89522552490234
2005-01-01,100.88758850097656
2005-02-01,108.97796630859375
2005-03-01,90.41048431396484
2005-04-01,87.03240203857422
2005-05-01,98.20596313476562
2005-06-01,81.12405395507812
2005-07-01,165.90191650390625
2005-08-01,116.2276611328125
2005-09-01,103.80766296386719
2005-10-01,87.06182861328125
2005-11-01,83.48009490966797
2005-12-01,95.35025024414062
2006-01-01,94.51001739501953
2006-02-01,95.85819244384766
2006-03-01,92.79762268066406
2006-04-01,89.01580047607422
2006-05-01,85.20877838134766
2006-06-01,102.57276916503906
2006-07-01,137.13482666015625
2006-08-01,147.08111572265625
2006-09-01,111.72425842285156
2006-10-01,113.13529968261719
2006-11-01,88.77892303466797
2006-12-01,90.60655975341797
2007-01-01,97.9200439453125
2007-02-01,96.16935729980469
2007-03-01,87.33650207519531
2007-04-01,76.6133804321289
2007-05-01,92.5995864868164
2007-06-01,97.9723129272461
2007-07-01,112.34625244140625
2007-08-01,83.17320251464844
2007-09-01,94.4888687133789
2007-10-01,101.47301483154297
2007-11-01,89.79544830322266
2007-12-01,94.96749114990234
2008-01-01,81.49982452392578
2008-02-01,80.75146484375
2008-03-01,77.63613891601562
2008-04-01,71.9048080444336
2008-05-01,72.57379913330078
2008-06-01,87.54842376708984
2008-07-01,89.73957061767578
2008-08-01,88.55410766601562
2008-09-01,88.54255676269531
2008-10-01,64.15979766845703
2008-11-01,79.08097076416016
2008-12-01,92.3664321899414
2009-01-01,85.36947631835938
2009-02-01,67.45267486572266
2009-03-01,72.64462280273438
2009-04-01,85.6884994506836
2009-05-01,89.68086242675781
2009-06-01,81.10958862304688
2009-07-01,83.43962097167969
2009-08-01,73.37187957763672
2009-09-01,92.8399887084961
2009-10-01,90.57640075683594
2009-11-01,82.10176086425781
2009-12-01,92.94691467285156
2010-01-01,91.58102416992188
2010-02-01,80.72535705566406
2010-03-01,74.116943359375
2010-04-01,88.76158142089844
2010-05-01,88.95870971679688
2010-06-01,96.45369720458984
2010-07-01,79.38137817382812
2010-08-01,80.99386596679688
2010-09-01,71.16854858398438
2010-10-01,65.99193572998047
2010-11-01,94.70516967773438
2010-12-01,97.20389556884766
2011-01-01,79.42161560058594
2011-02-01,90.01448822021484
2011-03-01,136.8883056640625
2011-04-01,91.01776885986328
2011-05-01,105.34491729736328
2011-06-01,84.391845703125
2011-07-01,78.92475891113281
2011-08-01,86.95156860351562
2011-09-01,83.35044860839844
2011-10-01,76.33993530273438
2011-11-01,83.15767669677734
2011-12-01,85.34132385253906
2012-01-01,79.63497161865234
2012-02-01,92.4458236694336
2012-03-01,88.75997924804688
2012-04-01,96.01668548583984
2012-05-01,78.17115783691406
2012-06-01,77.82243347167969
2012-07-01,82.80802154541016
2012-08-01,74.87835693359375
2012-09-01,69.28050994873047
2012-10-01,81.66366577148438
2012-11-01,81.38964080810547
2012-12-01,74.83155822753906
2013-01-01,90.6574935913086
2013-02-01,81.59033203125
2013-03-01,75.89672088623047
2013-04-01,95.10787200927734
2013-05-01,83.71731567382812
