year,total,gdi,fin_flow_rate,saving_rate_acct,saving_rate_pub
2002,536319.5,4926510.0,10.886398281948074,14.143115511792324,13.985
2003,564583.9,5104007.0,11.061581616169413,14.145141258622882,13.99
2004,573181.1,5297943.0,10.818936708077079,13.990278868609948,13.8375
2005,674100.7,5456701.0,12.353630884301705,13.070589720785508,12.915
2006,660059.2,5710713.0,11.55826251468074,13.004926004861389,12.8525
2007,597745.2,5945768.0,10.053288322046873,12.812070703061405,12.675
2008,475505.3,6145637.0,7.7372825632233075,13.13914245179141,12.975
2009,536227.3,6112694.0,8.772356345663631,14.347732767254504,14.155
2010,504582.4,6180919.0,8.163549789278909,13.139712719095655,12.975
2011,379629.8000000001,6302627.0,6.023358196510758,12.647202507779692,12.4875
2012,248588.8,6298379.0,3.9468695040422306,12.164733179759427,11.9875
2013,299240.8,6331083.0,4.726534149054751,12.308541840313893,12.1325
2014,368580.6999999999,6425257.0,5.736435134034326,12.512666808502757,12.3225
2015,460333.3,6580786.0,6.9951112222764875,12.69053575059271,12.515
2016,484131.6999999999,6742179.0,7.180641451376475,12.715770376313058,12.5425
2017,525353.2,6940077.0,7.569846847520567,12.61787153082019,12.4475
2018,530121.1000000001,7169392.0,7.394226734986733,12.663709837598502,12.4925
2019,654281.3,7396755.0,8.84551806839621,13.196165075090361,13.015
2020,1115626.6,7415459.0,15.044606139687376,19.667400224315177,19.4525
2021,1027221.0,7759912.0,13.237534136985058,17.498755140522213,17.32
2022,732657.2,8349561.0,8.774799058297795,13.628057810464526,13.4525
2023,619494.0,8979551.0,6.898941829051363,14.3575441578315,14.1725
2024,821079.2,9408270.0,8.727207021057007,15.237647303914535,15.0525
2025,906537.4,9699041.0,9.34667045948151,15.030630347886971,14.85
