quarter,F2,F3,F5,F6,F4,HPI
2005-04-01,2.018064998260405,2.3394541421559056,2.909279948445853,2.39958952633037,2.7956765281134777,1.5
2005-07-01,0.11456405112757473,-1.7593212485093046,5.031743075777073,2.2485008467423295,1.9715646871171888,2.6
2005-10-01,2.4765060638300973,-0.3888086763258358,1.3120535653121435,2.8090670457181055,2.26126821846353,0.9
2006-01-01,0.2822920011669394,-5.3106019071918915,4.808150650708387,2.2119438756840193,1.899595318094227,2.0
2006-04-01,1.6817685588431663,-0.4522772976477296,-1.218639758085216,0.6998232022142226,2.4800220080326785,2.1
2006-07-01,0.5019020664168705,3.414533158086819,3.5513102880453173,1.8224319204251715,1.7543525503726842,1.6
2006-10-01,2.6007151498542713,1.0818847098748474,3.2455976688980037,2.2370060242216327,2.0263753963958298,1.4
2007-01-01,0.5240831989682615,3.113800851715709,4.100140351280657,1.3571882790455847,1.6590392477887406,0.3
2007-04-01,2.0293783720890524,-0.42778001073775496,1.3860814544351063,1.2581787017065027,2.1332291976303708,1.9
2007-07-01,0.5946772920890853,1.3111936743968267,-3.5568853567746306,0.6565199080055262,1.4847819013804608,1.2
2007-10-01,5.590006033504058,0.031028778678487967,-2.6741248989264,0.7088470822567361,1.7657324887795145,0.3
2008-01-01,0.6732483215035057,0.27665061708210814,-7.245234192950189,0.8089022346097208,0.8632793345942247,0.6
2008-04-01,1.870048235825128,-0.20883519157305352,-3.1356930474307987,-0.1357602879382802,1.691745633002295,0.4
2008-07-01,0.6300958883737717,2.341069768074,-3.663951130212517,0.5786865680736275,0.8644895133879782,-0.6
2008-10-01,3.199875956891307,0.0454857062067493,-9.897477714105419,1.1021489915610916,0.7554821898368314,-1.7
2009-01-01,0.6397014344333485,-1.0882637524617378,-5.3607631327653005,0.4998708049424927,0.2861378471678222,-1.5
2009-04-01,1.2437566739423644,0.9930409059963008,3.526606431185342,1.0692992755857,0.7353472957488671,-0.3
2009-07-01,0.018806015030348178,0.7328427689766936,5.632168290429518,2.1816363294251184,0.34381294493421866,-0.1
2009-10-01,1.6393687736884877,-0.7065828964326504,-0.4170345516806173,2.1084354398128724,1.297389191071141,0.4
2010-01-01,-0.04455944517874899,0.6200985013744109,1.6550369250147412,2.4876305840219493,0.26036732614338476,-0.4
2010-04-01,1.1483405403480695,-2.185990430356133,-2.993362760051632,1.6527253078751691,0.7369379812867338,1.2
2010-07-01,-0.0515751866168257,0.4121963085974345,2.5862570435082555,2.4668089866058285,0.34907734670392987,0.5
2010-10-01,1.7253143733829024,-3.137765240427992,1.1052018051289192,-0.2112657772115778,0.7782557074466068,-0.1
2011-01-01,0.11669504730431601,-0.2158551502860928,1.7784351864688963,-0.2219210043443165,0.015067528582823897,0.4
2011-04-01,1.08666490781677,0.7578843538514013,-0.192585065548867,0.6042691814546863,0.8352248192885714,0.8
2011-07-01,0.27105699837406405,-0.4107251564520964,-6.855680745364278,2.314647456057295,0.284007081735016,-0.3
2011-10-01,1.1794293044878223,2.8747975391737235,1.3343614418278582,0.597708456323609,0.26739726790909746,-1.0
2012-01-01,0.5936273501855105,4.532723128700877,4.584280913984684,1.6699289724483979,-0.28892736765110394,-0.9
2012-04-01,1.103811399821053,-2.486200066691091,-1.6445749599032666,1.185920019339859,0.22447841363293364,-0.3
2012-07-01,0.1641726162846302,-0.9878755625564173,2.5705272559317427,0.5920077444956151,-0.14709644203507732,-0.3
2012-10-01,1.620167504966319,-3.097578251946098,2.46256947893273,1.3987302204816032,0.07255540274200278,-0.5
2013-01-01,0.540411732690016,-4.446107893997764,1.0447338489794067,0.5295669691262717,-0.257396664903653,-1.6
2013-04-01,0.7803955997245149,-1.509467797144226,-0.1933713579160945,0.753537154043249,-0.03491321583651841,0.4
2013-07-01,0.019131458912324817,-2.179343017675728,4.018757044701804,0.3573410427085921,0.0002515538317870991,0.1
2013-10-01,1.0608214739905142,0.6071815784694401,4.464908227678022,1.351375173945879,-0.3411385963185465,-0.5
2014-01-01,0.09780843794433558,-1.3664743520712896,4.528386609324642,1.852953479474806,-0.013312817751920392,-0.2
2014-04-01,0.9519078862593622,-2.515487432930985,1.8368814824601953,2.146539584606977,0.14345554905705882,0.9
2014-07-01,0.09253908116826359,-4.1059102560011995,0.549722556018506,2.2088768854996443,-0.014311993987659033,0.4
2014-10-01,1.298828437533328,-5.998546395607251,-0.16964747342120834,2.5278593947172467,0.28035191073763066,-0.6
2015-01-01,0.4938797389694827,-4.856252529600802,9.648087717746346,4.472440146296086,0.18582996440659194,0.0
2015-04-01,0.9377458652762183,-6.82223373183678,-0.9941714177264527,-2.1345433255588686,0.33742405287395805,1.5
