geo,quarter,saving,spread,sav_intent,unemp_exp,headline_infl,energy_infl
AT,2000Q1,17.5101666805504,0.24333333333333318,37.199999999999996,11.233333333333334,1.7333333333333332,9.966666666666667
AT,2000Q2,17.299191112342182,0.2933333333333348,34.199999999999996,4.1000000000000005,1.9333333333333333,10.733333333333334
AT,2000Q3,17.199254377205246,0.32333333333333414,37.300000000000004,-1.0000000000000002,2.033333333333333,12.5
AT,2000Q4,17.08493254936684,0.3133333333333326,15.133333333333335,-4.433333333333333,2.1,13.1
AT,2001Q1,16.270853276238775,0.3199999999999994,34.9,-0.16666666666666666,2.0,5.433333333333334
AT,2001Q2,15.553763754706518,0.29666666666666686,37.03333333333333,2.9000000000000004,2.6999999999999997,5.3
AT,2001Q3,15.113571875500197,0.27333333333333343,36.43333333333333,22.96666666666667,2.533333333333333,-0.9
AT,2001Q4,14.875522494824727,0.23666666666666636,39.699999999999996,33.03333333333333,2.0,-7.5
AT,2002Q1,15.219795212040268,0.1999999999999993,43.46666666666667,20.433333333333334,1.7666666666666666,-4.466666666666667
AT,2002Q2,15.14515852368564,0.20000000000000018,38.833333333333336,21.400000000000002,1.5999999999999999,-3.8000000000000003
AT,2002Q3,14.724685354691076,0.18666666666666654,38.0,25.133333333333336,1.7,-2.5
AT,2002Q4,15.036848576159647,0.14000000000000057,35.9,17.900000000000002,1.6666666666666667,1.4666666666666668
AT,2003Q1,14.933726171554238,0.04333333333333389,36.6,26.933333333333337,1.7333333333333334,5.266666666666667
AT,2003Q2,14.928446123625209,0.06000000000000005,30.26666666666667,36.733333333333334,1.0999999999999999,-0.6
AT,2003Q3,15.258835859177848,0.08333333333333304,26.266666666666666,31.166666666666668,1.0999999999999999,0.10000000000000002
AT,2003Q4,15.11644212780075,0.09333333333333371,27.166666666666668,27.400000000000002,1.2333333333333334,-0.7333333333333334
AT,2004Q1,14.93902024500673,0.1200000000000001,28.833333333333332,27.133333333333336,1.4333333333333333,-0.8666666666666667
AT,2004Q2,14.933143966802522,0.12333333333333396,29.2,35.63333333333333,2.0,7.266666666666667
AT,2004Q3,15.089780846752692,0.07000000000000028,29.933333333333334,30.46666666666667,2.0333333333333337,9.0
AT,2004Q4,14.800935373868406,0.06333333333333302,30.8,27.566666666666666,2.3666666666666667,12.566666666666668
AT,2005Q1,14.87241273188012,0.0033333333333334103,30.133333333333336,28.400000000000002,2.3666666666666667,8.766666666666667
AT,2005Q2,15.577248621162624,0.0766666666666671,28.233333333333334,30.433333333333334,2.0666666666666664,8.866666666666667
AT,2005Q3,15.399759690831793,0.05666666666666664,31.366666666666664,34.5,2.1666666666666665,12.4
AT,2005Q4,16.00189489562491,0.02666666666666595,33.93333333333333,31.766666666666666,1.7666666666666666,9.033333333333333
AT,2006Q1,16.674165006320028,0.010000000000000231,33.300000000000004,25.8,1.4333333333333333,10.366666666666667
AT,2006Q2,16.340693237840323,0.05666666666666664,33.266666666666666,21.166666666666668,2.033333333333333,9.233333333333333
AT,2006Q3,16.13866022203761,0.03999999999999959,35.4,15.533333333333333,1.8,5.466666666666666
AT,2006Q4,16.833329381638848,0.04333333333333389,35.36666666666667,6.733333333333333,1.4333333333333333,0.6333333333333334
AT,2007Q1,16.980805302538844,0.04333333333333389,35.7,-2.5333333333333337,1.7666666666666666,1.5666666666666667
AT,2007Q2,17.540427450209794,0.05999999999999961,38.73333333333333,-3.033333333333333,1.8666666666666665,0.9
AT,2007Q3,18.243168271761242,0.09333333333333371,37.36666666666667,-4.633333333333334,1.9333333333333333,2.1999999999999997
AT,2007Q4,17.67827857264039,0.12666666666666693,34.43333333333333,-2.6666666666666665,3.1999999999999997,11.466666666666667
AT,2008Q1,17.95646614033137,0.2533333333333325,34.93333333333334,3.5666666666666664,3.233333333333333,13.4
AT,2008Q2,17.846180926082795,0.28666666666666707,31.433333333333337,6.566666666666666,3.733333333333333,16.666666666666668
AT,2008Q3,17.69752522634456,0.3133333333333326,31.46666666666667,15.0,3.6999999999999997,14.533333333333331
AT,2008Q4,17.957790735164732,0.6433333333333331,28.53333333333333,42.1,2.2666666666666666,-0.7999999999999998
AT,2009Q1,17.90924711882586,1.0500000000000012,25.666666666666668,62.86666666666667,1.0333333333333334,-10.766666666666666
AT,2009Q2,18.021895837825593,0.8299999999999996,24.166666666666668,62.13333333333333,0.10000000000000002,-14.066666666666668
AT,2009Q3,17.787340766713545,0.5466666666666669,27.866666666666664,46.53333333333333,-0.06666666666666667,-12.933333333333332
AT,2009Q4,17.66255875862742,0.4299999999999997,28.333333333333332,38.06666666666667,0.6,-2.8666666666666667
AT,2010Q1,17.165863346094344,0.4700000000000002,25.400000000000002,36.56666666666667,1.3,6.866666666666667
AT,2010Q2,16.759438758218668,0.5133333333333336,23.666666666666668,20.133333333333333,1.7666666666666666,9.733333333333333
AT,2010Q3,16.20892879863775,0.456666666666667,26.633333333333336,2.4,1.6666666666666667,6.433333333333334
AT,2010Q4,15.617584242999525,0.48999999999999977,26.266666666666666,-2.4,2.0,7.533333333333334
AT,2011Q1,14.937992629058725,0.4900000000000002,27.566666666666666,-0.03333333333333335,3.0,12.033333333333333
AT,2011Q2,14.219086118723663,0.47666666666666657,25.266666666666666,5.633333333333333,3.7000000000000006,10.4
AT,2011Q3,13.335298689464798,0.6833333333333331,21.96666666666667,8.633333333333333,3.8000000000000003,11.266666666666666
AT,2011Q4,13.448522781520182,1.1933333333333331,19.099999999999998,24.833333333333332,3.6666666666666665,11.433333333333332
AT,2012Q1,13.477319665887489,1.2133333333333336,20.633333333333336,25.8,2.6999999999999997,7.1000000000000005
AT,2012Q2,14.098775745949235,1.1166666666666667,21.0,24.333333333333332,2.2333333333333334,4.3
AT,2012Q3,14.83523329764808,0.6700000000000002,18.766666666666666,29.5,2.4,5.533333333333334
AT,2012Q4,14.80169935767119,0.51,17.5,28.766666666666666,2.9,3.533333333333333
AT,2013Q1,14.670858147422923,0.4099999999999999,16.633333333333333,24.53333333333333,2.6,1.0666666666666667
AT,2013Q2,14.087464505517692,0.47,10.9,25.133333333333336,2.2333333333333334,-1.0666666666666667
AT,2013Q3,13.218008824446683,0.48,14.5,32.166666666666664,1.9666666666666668,-1.2
AT,2013Q4,12.91753281160838,0.3999999999999997,15.833333333333334,27.733333333333334,1.6666666666666667,-2.5333333333333337
AT,2014Q1,12.821912660162816,0.3733333333333333,11.799999999999999,29.833333333333332,1.5,-2.466666666666667
AT,2014Q2,12.697850553108818,0.33000000000000007,14.466666666666669,32.333333333333336,1.5999999999999999,-0.7666666666666666
AT,2014Q3,12.914484290653622,0.32999999999999996,8.566666666666666,35.833333333333336,1.5333333333333332,-1.8666666666666665
AT,2014Q4,13.24354070798223,0.2633333333333333,7.333333333333333,37.733333333333334,1.2333333333333334,-3.6666666666666665
AT,2015Q1,13.174361450556525,0.1433333333333333,10.233333333333333,38.36666666666667,0.6333333333333333,-8.133333333333333
AT,2015Q2,13.310932549387829,0.2033333333333333,9.466666666666667,38.36666666666667,0.9666666666666667,-5.6000000000000005
AT,2015Q3,13.376850391775765,0.34666666666666657,14.233333333333334,42.93333333333334,0.9,-8.066666666666668
AT,2015Q4,13.035729936603465,0.30666666666666653,9.933333333333334,50.199999999999996,0.7666666666666666,-8.333333333333334
AT,2016Q1,13.306659970155453,0.33,9.266666666666667,51.699999999999996,1.0333333333333332,-7.6000000000000005
AT,2016Q2,13.495428821240274,0.28,10.9,46.03333333333333,0.6,-7.1000000000000005
AT,2016Q3,13.157262448229023,0.2633333333333333,14.9,40.76666666666667,0.7666666666666666,-4.5
AT,2016Q4,13.713594221420163,0.2733333333333333,14.5,33.23333333333333,1.5,1.0
AT,2017Q1,12.95332549699594,0.2966666666666667,17.099999999999998,26.5,2.1999999999999997,6.966666666666666
AT,2017Q2,13.238154642271352,0.29333333333333333,18.599999999999998,15.233333333333334,2.1333333333333333,1.8333333333333333
AT,2017Q3,12.919014584985856,0.25666666666666665,17.966666666666665,7.933333333333334,2.1999999999999997,0.7999999999999999
AT,2017Q4,12.795172871098067,0.21333333333333337,20.46666666666667,-1.3666666666666665,2.3666666666666667,1.9666666666666668
AT,2018Q1,13.145182710791575,0.22000000000000008,21.2,-2.3333333333333335,1.9333333333333333,0.39999999999999997
AT,2018Q2,13.15410841074724,0.3233333333333333,22.233333333333334,-1.3333333333333333,2.1333333333333333,5.033333333333334
AT,2018Q3,13.752746464099987,0.3100000000000001,25.233333333333334,0.6666666666666669,2.233333333333333,7.966666666666666
AT,2018Q4,13.41184325542373,0.31,24.233333333333334,-4.266666666666667,2.1333333333333333,7.8999999999999995
AT,2019Q1,13.529840391646959,0.36000000000000004,20.599999999999998,-0.4666666666666666,1.5999999999999999,3.233333333333333
AT,2019Q2,13.191896564848141,0.35333333333333333,25.96666666666667,6.0,1.6666666666666667,2.466666666666667
AT,2019Q3,12.867743381322848,0.2866666666666667,20.099999999999998,10.333333333333334,1.3666666666666665,-0.13333333333333333
AT,2019Q4,12.986710841790298,0.2633333333333333,17.133333333333336,17.133333333333333,1.3333333333333333,-2.6
