date,actual,bridge,ar1,rw
2012-01-01,11.98,12.721731989900755,12.90040312561022,12.82
2012-04-01,12.36,12.385849081606198,12.147090768031177,11.98
2012-07-01,11.98,12.810114221796862,12.490758982439656,12.36
2012-10-01,11.63,12.516599444614597,12.131227713757045,11.98
2013-01-01,12.12,12.371995316595825,11.773430983800168,11.63
2013-04-01,12.17,12.818329733199816,12.242368793331575,12.12
2013-07-01,11.95,12.584275825035029,12.281813599005103,12.17
2013-10-01,12.29,12.2791540104779,12.068149933218699,11.95
2014-01-01,12.32,12.361660013332704,12.382332435839,12.29
2014-04-01,12.07,12.475581459210773,12.40622306355527,12.32
2014-07-01,12.58,12.510250469866682,12.170698787401722,12.07
2014-10-01,12.32,11.76420359968797,12.638904112860864,12.58
2015-01-01,12.58,11.503765868193545,12.401492236928958,12.32
2015-04-01,12.38,11.451235759833,12.635968227599244,12.58
2015-07-01,12.48,11.859558777746651,12.453504296606173,12.38
2015-10-01,12.62,12.262187762670713,12.542460370125491,12.48
2016-01-01,12.73,11.818785696732949,12.667675724014057,12.62
2016-04-01,12.56,11.494131226110706,12.765723105820065,12.73
2016-07-01,12.65,11.823905089374879,12.612166350609678,12.56
2016-10-01,12.23,11.797889705616747,12.69226076267973,12.65
2017-01-01,12.27,11.910255789841457,12.311433199088839,12.23
2017-04-01,12.46,12.078911482297546,12.345572937137572,12.27
2017-07-01,12.44,12.334963604654504,12.517005926914672,12.46
2017-10-01,12.62,12.104441201566097,12.497585262911786,12.44
2018-01-01,12.23,12.112954106733907,12.659392036994864,12.62
2018-04-01,12.44,12.248264124271014,12.305577718826074,12.23
2018-07-01,12.48,12.37081079780967,12.4953409872167,12.44
2018-10-01,12.82,12.134818087741989,12.530442327379228,12.48
2019-01-01,13.35,12.321664398810508,12.835867046961061,12.82
2019-04-01,13.14,12.726816836465547,13.309264714797921,13.35
2019-07-01,12.91,12.85524829915326,13.12192379600971,13.14
2019-10-01,12.66,12.709291140958067,12.917275522516459,12.91
2020-01-01,17.08,12.841615112575537,12.69464838189607,12.66
2020-04-01,25.1,15.390143316867047,16.484362565774532,17.08
2020-07-01,16.52,19.765787153918005,31.272076327959205,25.1
2020-10-01,19.11,19.045211511489608,15.245262876706754,16.52
2021-01-01,20.43,18.855137551914986,17.230814465251417,19.11
2021-04-01,18.81,17.371786835459446,18.702513319112853,20.43
2021-07-01,15.06,16.362659078801602,17.50883392872291,18.81
2021-10-01,14.98,15.033071038500143,14.604599492819299,15.06
2022-01-01,14.22,14.31797063203528,14.555171342020472,14.98
2022-04-01,12.81,14.225530469953297,14.0105448436214,14.22
2022-07-01,13.31,14.09625494697188,12.999935731483898,12.81
2022-10-01,13.47,13.67791159038617,13.356294801167568,13.31
2023-01-01,13.77,13.439459858434798,13.470353779776634,13.47
2023-04-01,13.93,13.751637033566935,13.685123844145583,13.77
2023-07-01,14.15,13.704444286543664,13.800677821571295,13.93
2023-10-01,14.84,13.699361637502955,13.959904863872021,14.15
2024-01-01,15.15,14.487058389982504,14.458678762861702,14.84
2024-04-01,15.23,15.267685966142263,14.689977035651786,15.15
2024-07-01,15.02,15.86536269697397,14.757004785435875,15.23
2024-10-01,14.81,15.880586601026815,14.61194947694134,15.02
2025-01-01,15.06,15.598786298248443,14.465031233493036,14.81
2025-04-01,15.14,14.786499639507527,14.653161939006466,15.06
2025-07-01,14.78,15.293517502022787,14.718751908658307,15.14
2025-10-01,14.42,15.4974744324594,14.460618666364065,14.78
