date,saving,trend,cycle
1999-01-01,14.33,13.614105914006787,0.715894085993213
1999-04-01,14.11,13.61358420552923,0.496415794470769
1999-07-01,13.71,13.613509930855418,0.09649006914458269
1999-10-01,13.12,13.614640783660638,-0.494640783660639
2000-01-01,12.78,13.617794763913396,-0.8377947639133971
2000-04-01,12.93,13.623480721092395,-0.6934807210923957
2000-07-01,13.19,13.63168388294889,-0.44168388294889027
2000-10-01,13.34,13.641956051783447,-0.3019560517834474
2001-01-01,13.37,13.653572977469798,-0.2835729774697988
2001-04-01,13.29,13.665621687349317,-0.37562168734931767
2001-07-01,14.03,13.677011975652457,0.3529880243475425
2001-10-01,13.97,13.68641887305507,0.2835811269449309
2002-01-01,13.81,13.692738027748232,0.11726197225176804
2002-04-01,14.27,13.695042326127371,0.5749576738726283
2002-07-01,13.77,13.692477943320567,0.0775220566794328
2002-10-01,14.09,13.684550403002072,0.4054495969979275
2003-01-01,14.16,13.67081368013159,0.489186319868411
2003-04-01,13.88,13.65107515566694,0.22892484433306137
2003-07-01,14.18,13.62544795201586,0.5545520479841404
2003-10-01,13.74,13.594188269613802,0.14581173038619788
2004-01-01,13.97,13.557898903926208,0.4121010960737923
2004-04-01,13.89,13.517273782750017,0.37272621724998345
2004-07-01,14.1,13.473264397067219,0.6267356029327811
2004-10-01,13.39,13.427055191745586,-0.03705519174558525
2005-01-01,13.21,13.380222321404728,-0.1702223214047276
2005-04-01,12.94,13.334318781169419,-0.3943187811694191
2005-07-01,12.64,13.290791177213553,-0.6507911772135522
2005-10-01,12.87,13.250839666472798,-0.38083966647279865
2006-01-01,12.58,13.215257661397063,-0.6352576613970626
2006-04-01,12.53,13.184600549644708,-0.6546005496447087
2006-07-01,13.04,13.159026682835727,-0.11902668283572737
2006-10-01,13.26,13.13828528724658,0.12171471275341972
2007-01-01,12.75,13.122051197476958,-0.37205119747695825
2007-04-01,12.61,13.110075319822016,-0.5000753198220167
2007-07-01,12.57,13.101876028578486,-0.5318760285784858
2007-10-01,12.77,13.096659150968206,-0.3266591509682062
2008-01-01,12.44,13.093298091695154,-0.6532980916951541
2008-04-01,12.83,13.090462093493956,-0.2604620934939561
2008-07-01,12.85,13.086412087791928,-0.23641208779192802
2008-10-01,13.78,13.079246217207952,0.7007537827920469
2009-01-01,14.02,13.06691486680604,0.9530851331939587
2009-04-01,14.33,13.047806392764445,1.2821936072355555
2009-07-01,14.24,13.02090482946966,1.2190951705303394
2009-10-01,14.03,12.985995582312713,1.0440044176872867
2010-01-01,13.34,12.943625991166211,0.3963740088337886
2010-04-01,13.16,12.89499589866382,0.2650041013361797
2010-07-01,12.99,12.841552881194726,0.14844711880527406
