year,safe_F2,risky_F5,bonds_F3,inspen_F6
2001,30.82274835652997,33.52271938194599,8.356077210453774,23.981654446190888
2002,32.24876076899625,30.12057439237411,8.901345509290744,25.225045467108114
2003,31.790531621580637,30.694792634886998,8.429046182370156,25.6602515582198
2004,31.541101686335804,30.84081240928406,8.569955726412239,25.848104230452577
2005,30.519370480790638,32.30381490056096,7.986062164902561,26.109115489078
2006,30.132075042632373,33.56539724998546,7.251565229279752,26.139912841746664
2007,31.025196679013327,32.12470976699219,7.377225493334068,26.47556961671977
2008,34.60476108067718,25.85389704891876,7.879710932918727,28.397356558435476
2009,34.226576443272755,25.969104629108806,7.509723337202731,28.919156898268838
2010,33.8782383123355,25.72991958341382,6.936977574704155,29.75556073589223
2011,34.49659373032247,23.984029692023547,7.129203616931364,30.506140589479227
2012,34.13410140161723,25.032734133418355,6.676778791373203,30.709376026054162
2013,33.387271615511075,27.025488463199363,5.818354743671159,30.30038781300944
2014,32.5723257312652,27.6852591039394,4.801033070527898,31.299667125608096
2015,31.98115836094249,29.312055696948157,3.867120463276181,31.266899989036055
2016,31.60370667934448,30.005578295137397,3.100855515965328,31.900097326679457
2017,31.30232980492767,31.293638434541425,2.6037761453095003,31.426728874334607
2018,32.47845636995016,29.973861654158718,2.44460952971727,31.77234375785684
2019,31.432049790243777,30.9023712874206,2.1424965981481527,32.30575896376537
2020,32.154476473749405,30.75442245280354,1.875521641239903,31.985367278604954
2021,31.56445749419574,33.66970677274784,1.5916875832062458,29.922720409958416
2022,33.891555494774806,34.13860387625199,1.8081694545044265,26.681276007984728
2023,32.114797091095795,35.16519462339916,2.7366082491145676,26.499616691503494
2024,31.534864554543386,35.72369856254564,2.8519203267526336,26.50871004837464
2025,31.086683889888665,37.29727303940134,2.846336043060466,25.38880031359914
